ID,WR#,Reference,HD,Alias1,Alias2,Alias3,Right Ascension,Declination J2000,Galactic Longitude,Galactic Latitude,Spectral Type,Reference.1,Binary Status,Binary Reference,u,b,v,r,U,B,V,G,J,H,K,Cluster,Association,Star Forming Region,Distance,DistanceRef
1,1,VII,HD 4004,HIP 3415,,,00 43 28.39,+64 45 35.4,122.0825,1.9012,WN4b,SSM96,SB1?,"La83, MS86, MMH98, MG99, Ni00",11.2,11.02,10.51,10.15,10.36,10.74,10.1,9.79,8.206,7.857,7.48,,(Cas OB7),,3.15,RC20
2,2,VII,HD 6327,HIP 5100,,,01 05 23.03,+60 25 18.9,124.65,-2.41,WN2b,SSM96,VB,"Hip97, MMH98",11.62,11.46,11.33,11.17,11.04,10.35,10.99,,10.036,9.783,9.445,,Cas OB1:,,2.4,CSM19
3,3,VII,HD 9974,HIP 7681,,,01 38 55.62,+58 09 22.6,129.1797,-4.1382,WN3ha,MMC04,SB2,"MLS86,MS86,SH89,SM89,SS96",10.54,10.64,10.7,10.73,9.85,10.62,10.61,10.58,10.237,10.134,10.009,,,,2.9,RC20
4,4,VII,HD 16523,HIP 12527,,,02 41 11.67,+56 43 49.8,137.5948,-2.9839,WC5+?,VI,"SB1, no d.e.l.","MS86,CM89,RC89,SS90,VII",10.73,10.73,10.53,10.53,10.03,10.3,9.8,9.68,8.749,8.566,7.877,,,,3.75,RC20
5,5,VII,HD 17638,HIP 13380,,,02 52 11.66,+56 56 07.1,138.8668,-2.153,WC6,VI,,,11.68,11.49,11.02,10.76,10.97,10.85,10.37,10.06,8.626,8.336,7.653,,,,2.97,RC20
6,6,VII,HD 50896,HIP 33165,EZ CMa,,06 54 13.04,-23 55 42.0,234.7567,-10.0832,WN4b,SSM96,SB1?,"FK80,DH96,MM98,MMH98,GK99,NG99a",,6.87,6.94,6.98,5.64,6.6,6.87,6.57,6.353,6.226,5.893,Collinder 121:,,G234.8-10.1,2.27,RC20
7,7,VII,HD 56925,HIP 35378,,,07 18 29.13,-13 13 01.5,227.7503,-0.1285,WN4b,SSM96,,MMH98,12.21,12.11,11.75,11.51,11.21,11.68,11.4,11.17,9.97,9.674,9.271,,,G227.8-0.2,4.23,RC20
9,8,VII,HD 62910,HIP 37791,,,07 44 58.22,-31 54 29.5,247.0732,-3.7926,WN7o/CE,SSM96,SB1,"Ni91,MMH98",10.99,10.95,10.48,10.27,10.08,10.69,10.16,9.92,8.57,8.322,7.928,,(Anon.Pup a:),,3.74,RC20
10,9,VII,HD 63099,HIP 37876,IC 2206,,07 45 50.40,-34 19 48.5,249.2719,-4.8376,WC5+O7,HH88,SB2 (P=14.3d),"NM84,SM89,Ni95,LM96",12.05,11.67,10.93,10.6,11.47,11.42,10.49,10.14,8.452,8.11,7.545,(HD 63077 group?),(Anon.Pup b?),,4.57,RC20
11,10,VII,HD 65865,HIP 39086,,,07 59 46.24,-28 44 03.0,245.9799,0.575,WN5h,SSM96,VB,"Ni81,Tu81,Hip97,HH88,NG99a",11.47,11.3,11.08,10.99,10.62,11.22,10.93,10.94,10.053,9.887,9.61,Ruprecht 44,,,5.46,RC20
12,11,VII,HD 68273,HIP 39953,gamma Vel,,08 09 31.96,-47 20 11.8,262.8025,-7.6858,WC8+O7.5III-V,DS99,"SB2, VB (78.5d)","SSS97,DS99,NG99a,SSK99,TC99,DS00, MPG07",,1.42,1.74,,0.64,1.58,1.83,1.7,2.15,2.25,2.1,,Gamma Vel,,0.34,vL07
13,12,VII,,,Ve5-5,MR 13,08 44 47.29,-45 58 55.4,265.1995,-1.9689,WN8h,SSM96; FM12,"SB1, no d.e.l. (P=23.92)","Ni82,CM89,SM89,LM96,RVG96,VII; FM12",11.63,11.41,10.99,10.61,10.95,11.34,10.78,10.36,8.616,8.26,7.869,,Bochum 7,,5.71,RC20
15,14,VII,HD 76536,HIP 43778,Ve5-8,,08 54 59.16,-47 35 32.6,267.5521,-1.637,WC7+?,"SS90,Sh90","SB1, no d.e.l.","CM89,Sh90,SS90,NG99a,VII",9.67,9.54,9.4,9.42,8.96,9.44,8.92,8.61,7.486,7.245,6.612,,(Anon.Vel a:),,2.22,RC20
16,15,VII,HD 79573,HIP 45237,Ve5-10,,09 13 11.76,-50 06 25.5,271.4236,-1.0817,WC6,VI,,,12.9,12.44,11.72,11.08,12.3,11.8,10.69,10.16,7.846,7.338,6.596,,(Anon.Vel b?),,2.96,RC20
17,16,VII,HD 86161,HIP 48617,,,09 54 52.89,-57 43 38.2,281.0797,-2.5509,WN8h,SSM96,,"MN82,BE89,GH89,GVM90,AB95,MMH98,NG99a",8.76,8.74,8.44,8.25,7.94,8.63,8.32,8.05,6.968,6.714,6.38,,,,2.63,RC20
18,17,VII,HD 88500,HIP 49838,,,10 10 31.90,-60 38 42.4,284.4355,-3.6884,WC5,VI,,,10.97,11.17,11.03,11.14,,10.87,10.63,10.42,9.926,9.736,9.167,,,,6.75,RC20
20,18,VII,HD 89358,HIP 50368,,,10 17 02.26,-57 54 46.8,283.5747,-0.9656,WN4b,SSM96,,MMH98,11.91,11.66,11.11,10.72,11.1,11.26,10.75,10.34,8.566,8.205,7.676,,Car OB1:,RM10 SFC26?,3.82,RC20
28,21,VII,HD 90657,HIP 51109,,,10 26 31.40,-58 38 26.1,285.0171,-0.9032,WN5o+O4-6; WN5o+O7V,SSM96; FM12,SB2 (P=8.25d),"NM82,SM89,LM96,MMH98,GN99,NG99a; FM12",10.15,10.03,9.76,9.58,9.53,10.16,9.71,9.49,8.414,8.217,8.033,,,,3.99,rc20
30,22,VII,HD 92740,HIP 52308,HR 4188,,10 41 17.50,-59 40 36.8,287.1742,-0.8475,WN7ha; WN7h+O9III-V,"SSM96; SS99,RV96",SB2,"CN79,SM89,GR91,RV96,MMH98,NG99a,SSS99",7.18,7.24,7.16,7.14,5.69,6.48,6.39,6.23,5.705,5.578,5.389,,Car OB1,NGC 3372,2.33,RC20
31,23,VII,HD 92809,HIP 52331,,,10 41 38.31,-58 46 18.7,286.7804,-0.0314,WC6,VI,,NG99a,9.62,9.62,9.67,9.72,9.02,9.51,9.11,8.87,7.889,7.602,7.055,Bochum 10,Car OB1:,NGC 3372,2.55,RC20
32,24,VII,HD 93131,HIP 52488,,,10 43 52.24,-60 07 04.0,287.6681,-1.0822,WN6ha,SSM96,,"CN79,NG99a",,7.16,7.2,7.28,5.52,6.46,6.48,6.35,6.097,6.012,5.816,Collinder 228:,Car OB1,NGC 3372,3.55,RC20
33,25,VII,HD 93162,,PPM 339385,,10 44 10.37,-59 43 11.1,287.5145,-0.713,O2.5If*/WN6+O,CW11; GGM06,SB1; CWB (P~208d),GGM06,9.14,9.01,8.84,8.57,7.9,8.51,8.07,7.79,6.26,5.97,5.721,Trumpler 16,Car OB1,NGC 3372,1.97,RC20
40,31,VII,HD 94546,HIP 53274,,,10 53 44.81,-59 30 46.6,288.4998,0.02,WN4o+O8V,SSM96; FM12,"SB2, VB (P=4.83d)","NM85,LM87,SM89,LM96,Hip97,GN99; FM12",,10.97,10.69,,10.38,10.95,10.56,10.39,9.172,8.962,8.688,,,,6.11,RC20 (n flag)
41,31a,VII,,,He3-519,,10 53 59.57,-60 26 44.3,288.9349,-0.8055,WN11h,SC94,,,,,,,,11.64,10.85,10.27,7.323,6.719,6.097,,,,7.35,RC20
42,31b,VII,HD 94910,HIP 53461,AG Car,,10 56 11.57,-60 27 12.8,289.1829,-0.6953,WN11h,SC94,VB,HL93,,,,,7,7.74,7.21,7.32,5.42,5.084,4.531,,,,4.85,RC20
56,40,VII,HD 96548,HIP 54283,,,11 06 17.20,-65 30 35.3,292.3148,-4.8289,WN8h,SSM96,,"DS87,GV90,MM94,AB95,MMH98,MMEv98,NG99a",7.79,7.79,7.6,7.51,7.1,7.86,7.69,7.46,6.622,6.407,6.107,,,,3.83,RC20
58,42,VII,HD 97152,HIP 54574,,,11 10 04.07,-60 58 44.9,290.9469,-0.4884,WC7+O7V,HH88,SB2 (P=7.89d),"DM81,SD87,SM89,LM96,NG99a; HMS00",,8.31,8.25,,7.44,8.18,8.05,7.92,7.589,7.519,7.084,,,RM10 SFC27?,2.44,RC20
63,43A,VII,HD97950 A1,,,,11 15 07.47,-61 15 38.16,291.62,-0.52,WN6ha+WN6ha,CD98,SB2,SCC08,,,,,,,11.18,,7.98,7.79,7.21,NGC 3603 ,,G291.6-0.5/RM10 SFC28,7.6,MMM08
64,43B,VII,HD97950 B,,,,11 15 07.58,-61 15 38.32,291.62,-0.52,WN6ha,CD98,,"SCM02, SCC08",,,,,,12.34,11.33,,7.78,7.7,7.08,NGC 3603,,G291.6-0.5/RM10 SFC28,7.6,MMM08
65,43C,VII,HD 97950 C,,,,11 15 07.76,-61 15 37.75,291.62,-0.52,O3If*/WN6,CW11,,"SCM02, SCC08",,,,,,12.94,11.89,,8.49,8.13,7.81,NGC 3603,,G291.6-0.5/RM10 SFC28,7.6,MMM08
78,46,VII,HD 104994,HIP 58954,,,12 05 18.71,-62 03 10.1,297.556,0.3365,WN3b pec,SSM96,"d.e.l., SB1?","CM89,VG95,NB95,MM96,MMH98,MA00,VGC02,VGH02,VII",10.71,10.84,10.87,10.9,9.95,10.77,10.58,10.7,10.199,10.079,9.834,,Cru OB4?,,2.6,RC20
94,47,VII,HD 311884,HIP 62115,He3 813,,12 43 50.99,-63 05 14.8,302.0734,-0.2283,WN6o+O5V; WN6o+O5.5,SSM96; FM12,SB2 (P=6.24d),"LM87,SM89,MD90,LM96,GN99; FM12",12.17,11.84,11.08,10.58,11.39,11.59,10.79,10.29,8.316,7.916,7.549,Hogg 15:,,,3.49,RC20
102,48,VII,HD 113904,HIP 64094,Theta Mus,,13 08 07.14,-65 18 21.7,304.6745,-2.4907,WC6(+O9.5/B0Iab); WC6+O6-7V,"VI,Co84; HMS02","SB1, VB (P=19.14d)","MS77,SD87,SM89,Hip97,MG98,HaM99,NG99a; HMS02",,5.76,5.88,,4.65,5.619,5.662,5.58,5.571,5.566,5.434,,Cen OB1,,2.39,RC20
112,50,VII,,,V864 Cen,,13 18 01.03,-62 26 04.8,306.0015,0.2786,WC7+OB,SS90,SB2,"CM89,GH90,SS90,GV91,VII",13.44,13.03,12.49,11.94,12.66,12.72,11.86,11.52,9.753,9.384,8.811,,(Anon. Cen OB),,3.48,RC20
114,52,VII,HD 115473,HIP 64929,,,13 18 27.90,-58 08 13.7,306.5042,4.547,WC4,SS90,,NG99a,9.91,10.15,9.86,10.01,9.09,9.71,9.25,9.05,8.411,8.206,7.555,,,,1.75,RC20
117,53,VII,HD 117297,HIP 65925,,,13 30 53.24,-62 04 51.9,307.532,0.4378,WC8; WC9; WC8d,SS90; CDB98; WH00,,,11.66,11.3,10.88,10.97,10.81,11.11,10.77,10.26,8.745,7.915,6.835,,,,4.14,RC20
119,55,VII,HD 117688,HIP 66142,,,13 33 30.10,-62 19 01.2,307.7959,0.1568,WN7o,SSM96,,MMH98,,11.27,10.87,,8.69,10.84,10.39,10.23,8.774,8.489,8.005,,,,3,RC20
122,57,VII,HD 119078,HIP 66948,,,13 43 16.35,-67 24 05.1,307.8945,-5.0304,WC8,SS90,,,10.17,10.12,10.02,10.29,9.11,9.8,9.64,9.52,9.088,8.752,8.01,,,,5.5,RC20
124,59,VII,,,LSS 3164,,13 49 32.55,-61 31 42.3,309.7997,0.5661,WC9d,HH88,,,,15.14,13.9,13.4,12.09,11.99,11.69,12.04,8.795,7.709,6.609,,,,3.57,RC20
140,66,VII,HD 134877,HIP 74634,,,15 14 57.71,-59 50 30.2,320.0657,-1.8331,WN8(h),SSM96,"no d.e.l., SB1?, VB","CM89,AB95,RG96,Hip97,MMH98,VII",12.81,12.39,11.66,11.13,12.23,12.26,11.38,10.91,8.928,8.481,8.148,,(Cir OB1),,5.18,"RC20 (n,a flags)"
141,67,VII,,,LSS 3329,,15 15 32.62,-59 02 30.7,320.547,-1.1899,WN6o,SSM96,d.e.l.,"CM89,VII",13.32,12.99,12.12,11.61,12.61,12.62,11.88,11.05,9.278,8.858,8.452,Pismis 20:,Cir OB1:,,2.23,RC20
147,69,VII,HD 136488,HIP 75377,,,15 24 11.30,-62 40 37.6,319.4777,-4.8201,WC9d+OB,WH00,SB2,"MMH98,NG99a,WH00",,9.57,9.43,,9.1,9.55,9.24,9.01,7.955,7.278,6.403,,,,3.48,RC20
148,70,VII,HD 137603,HIP 75863,,,15 29 44.68,-58 34 51.3,322.3396,-1.8068,WC9vd+B0I,"Ni95, Wil19",SB2 (P=2.8yr?),"Go87,SM89,Ni95,Wi97,NG99a,Wi02; Wil19",11.79,11.06,10.1,9.48,11.11,11.02,9.78,9.2,7.067,6.557,5.744,,,,3.01,RC20
155,71,VII,HD 143414,HIP 78689,,,16 03 49.33,-62 41 36.1,323.0814,-7.6132,WN6o,SSM96,"d.e.l., SB2?","LM87,CM89,SS96,MMH98,VII",10.01,10.18,10.23,10.22,9.34,10.05,10.11,9.89,9.48,9.306,9.088,,,,3.19,RC20
161,75,VII,HD 147419,,TYC 8324 3694,,16 24 26.22,-51 32 06.1,332.8376,-1.478,WN6b,SSM96,,,12.11,11.94,11.23,10.77,,11.46,10.85,10.43,8.601,8.244,7.837,,(Nor OB4),,3.32,RC20
202,78,VII,HD 151932,HIP 82543,HR 6249,,16 52 19.25,-41 51 16.3,343.2239,1.4317,WN7h,SSM96,eclipse?,"BE89,MMH98,NG99a",,6.82,6.61,,6.12,6.76,6.48,6.28,5.441,5.269,4.978,(NGC 6231),Sco OB1:,,1.25,RC20
203,79,VII,HD 152270,HIP 82706,HR 6265,,16 54 19.70,-41 49 11.6,343.4873,1.1639,WC7+O5-8,VI,"SB2, VB (P=8.89d)","SD87,SM89,LM96,MMH98,HaM99,NG99a; HMS00",,6.96,6.95,,6.32,6.83,6.6,6.54,5.963,5.81,5.389,NGC 6231:,Sco OB1,,1.37,RC20
204,79a,VII,HD 152408,HIP 82775,HR 6272,,16 54 58.50,-41 09 03.1,344.0836,1.4909,WN9ha; O8Iafpe,BoC99; Wal72,VB,"MG98,MMH98",,5.44,5.29,,5.18,5.98,5.81,5.67,5.148,5.09,4.904,NGC 6231:.,Sco OB1,,2.02,RC20
205,79b,VII,HD 152386,,TYC 7880 313 1,,16 55 06.45,-44 59 21.4,341.1133,-0.9408,WN9ha; O6:Iafpe,BoC99; SMM14,VB,MG98,,8.87,8.32,,8.16,8.66,8.14,7.92,6.764,6.617,6.475,,,,5.32,RC20 (n flag)
211,85,VII,HD 155603B,,LSS 3982,TYC 7874 1219,17 14 27.12,-39 45 47.1,347.4334,-0.6135,WN6h,SSM96,"d.e.l., VB","HH88,CM89,Hip97,VII",11.37,11.17,10.6,10.21,10.64,10.96,10.4,10.03,8.2,7.943,7.475,,,,1.99,DR20
212,86,VII,HD 156327,HIP 84655,,,17 18 23.06,-34 24 30.60,352.25,1.85,WC7 (+B0III-I),NS98,"SB1?, VB","JB63,HH88,ML88,CM89,SS90,GV91,NS98,NG99a,VII",10.47,10.06,9.63,9.36,9.83,10.1,9.29,,7.436,7.136,6.666,,,,,
213,87,VII,,,He3-1370,LSS 4064,17 18 52.87,-38 50 03.6,348.6869,-0.7737,WN7h+abs,SSM96,"a, d.e.l.","CM89,VII",15.12,14.08,12.5,11.44,13.93,13.55,11.96,10.88,7.981,7.452,7.085,HM 1,(Anon. Sco OB),,2.91,RC20
215,89,VII,,HIP 84716,He3-1371,LSS 4065,17 19 00.52,-38 48 51.3,348.7176,-0.7825,WN8h+abs,SSM96,"a, d.e.l., VB","CM89,Hip97,VII",13.62,12.72,11.5,10.54,13.01,12.5,11.03,10.11,7.385,6.963,6.578,HM 1,Anon. Sco OB,,2.9,RC20
216,90,VII,HD 156385,HIP 84757,He3-1373,,17 19 29.90,-45 38 23.9,343.1641,-4.7627,WC7,VI,,NG99a,,7.33,7.45,7.48,6.54,7.17,6.96,6.75,6.251,6.09,5.52,,,,1.15,RC20
219,92,VII,HD 157451,,He3-1399,TYC 7895 1089,17 25 23.28,-43 29 31.5,345.5373,-4.42,WC9,WH00,,,10.71,10.5,10.43,10.5,10,10.62,10.33,10.12,9.503,9.222,8.822,,,,3.78,RC20
220,93,VII,HD 157504,,THA 10-19,,17 25 08.85,-34 11 12.6,353.2272,0.8293,WC7+O7-9,HH88,SB2?,"LS84,LT84,CM89,SS90,VII",13.48,12.58,11.46,10.55,12.8,12.1,10.68,9.84,7.036,6.533,5.865,(Pismis 24),,,1.76,RC20
226,97,VII,HDE 320102,HIP 86197,He3-1439,,17 36 53.62,-34 02 36.8,354.6819,-1.1238,WN5b+O7,SSM96,SB2 (P=12.6d),"SM89,NC95,NR96,LM96,MMH98",12.3,11.82,11.14,10.62,11.51,11.73,10.85,10.39,8.502,8.215,8.009,,,,2.15,RC20
227,98,VII,HDE 318016,,He3-1441,,17 37 13.74,-33 27 56.0,355.2071,-0.8723,WN8o/C7,SSM96,SB1,"Ni91,MMEv98",,13.59,12.51,,13.71,13.22,11.85,10.9,8.091,7.548,7.045,Trumpler 27,,,1.96,RC20
342,103,VII,HD 164270,HIP 88287,V4072 Sgr,,18 01 43.15,-32 42 55.2,358.4848,-4.8915,WC9d+?,VI,"SB1, no d.e.l.","IM81,GH86,MLC86,SD87,BE89,CM89,SH89,SS90,NG99a,VII",9.13,9.04,9.01,9.23,8.52,9.06,8.81,8.57,7.75,7.207,6.37,,,,3.46,RC20
343,104,VII,,,Ve2-45,V5097 Sgr,18 02 04.12,-23 37 42.2,6.4432,-0.4854,WC9d+B0.5V (+VB),WH00,"SB2, VB","Cr97,MT99,TM99,WS99,WH00,TCD02,Wi02,WMS02",,14.85,13.54,,,,11.8,11.73,6.67,4.34,2.42,Bochum 14,(Sgr OB1),,2.74,RC20
345,106,VII,HDE 313643,,IC14-8,,18 04 43.66,-21 09 30.6,8.8957,0.1952,WC9d,VI,,,14.17,13.13,12.33,11.96,13.39,13.09,11.89,11.1,7.94,6.28,4.82,,,,3.07,RC20
348,108,VII,HDE 313846,HIP 88597,He3-1580,,18 05 25.73,-23 00 20.4,7.3647,-0.8511,WN9ha,SSM96,"a, d.e.l.","CM89,VII",,10.96,10.16,,10.48,10.69,9.89,9.44,7.665,7.341,7.104,,(Sgr OB1),,2.79,RC20
350,110,VII,HD 165688,HIP 88828,He3-1594,,18 07 56.96,-19 23 56.9,10.8,0.3944,WN5-6b,SSM96,,,11.48,11.05,10.3,9.74,10.48,10.47,9.73,9.21,7.118,6.716,6.223,,(Sgr OB1),,1.58,RC20
351,111,VII,HD 165763,HIP 88856,He3-1599,,18 08 28.47,-21 15 11.2,9.239,-0.6134,WC5,VI,,NG99a,7.99,8.21,8.23,8.46,7.16,7.86,7.67,7.49,7.277,7.143,6.51,,(Sgr OB1),,1.63,RC20
360,113,VII,HD 168206,HIP 89769,CV Ser,,18 19 07.36,-11 37 59.2,18.9073,1.7512,WC8d+O8-9IV,VI,SB2 (P=29.7d),"SM89,LM96,NM96,NG99a",10.33,9.89,9.43,9.11,9.6,9.86,9.14,8.78,7.02,6.28,5.49,,(Ser OB2),,1.8,RC20
365,115,VII,,HIP 90299,He3-1693,MR 87,18 25 30.01,-14 38 41.0,16.9772,-1.0337,WN6o,SSM96,d.e.l.,"CM89,VII",14.11,13.42,12.32,11.51,13.38,13.02,11.84,10.9,7.992,7.416,6.945,,(Ser OB1),,0.48,RC20 (a flag)
378,120,VII,,,Vy1-3,V462 Sct,18 41 00.87,-04 26 14.5,27.7955,0.2901,WN7o,SSM96,,MMEv98,13.86,13.32,12.3,11.63,13.1,12.99,11.94,11.22,,,,Dolidze 33:,,,1.5,RC20
385,121,VII,,HIP 91911,AS 320,V1485 Aql,18 44 13.15,-03 47 57.8,28.7282,-0.1288,WC9d,VI,,MMH98,14.26,13.38,12.41,12.01,13.7,13.34,11.94,11.08,8.295,7.056,5.773,,(Anon. Sct OB),RM10 SFC13?,2.33,RC20
388,123,VII,HD 177230,HIP 93626,V1402 Aql,,19 03 59.02,-04 19 02.0,30.5096,-4.7543,WN8o,SSM96,"SB1?, no d.e.l.","MS86,CM89,MM98,MMH98,MMEv98,VII",11.93,11.69,11.26,10.96,11.32,11.6,11.12,10.86,9.524,9.282,8.917,,,,5.35,RC20
391,124,VII,,HIP 94289,QR Sge,209 BAC,19 11 30.87,+16 51 38.1,50.198,3.31,WN8h,SSM96,"SB1?, no d.e.l.","MS86,CM89,BE89,MMEv98,VII",12.81,12.39,11.58,10.92,,12.19,11.5,10.61,8.578,8.179,7.732,,,,5.87,RC20
398,127,VII,HD 186943,HIP 97281,He3-1772,,19 46 15.94,+28 16 19.0,64.0594,1.7334,WN3b+O9.5V,SSM96,SB2 (9.56d),"Ma81,MS86,SM89,LM96, MMH98; CMC11",10.61,10.48,10.33,10.22,9.86,10.56,10.29,10,9.182,9.015,8.761,,(Vul OB2),,3.09,RC20
399,128,VII,HD 187282,HIP 97456,QT Sge,,19 48 32.20,+18 12 03.6,55.6153,-3.7865,WN4(h),SSM96,SB2?,"La83,AC85,MS86,CM89",10.43,10.53,10.54,10.57,9.59,10.49,10.44,10.35,9.969,9.836,9.623,,,,2.9,RC20
404,133,VII,HD 190918,HIP 99002,V1676 Cyg,,20 05 57.32,+35 47 18.0,72.6516,2.0651,WN5o+O9I,SSM96,"SB2, VB (112.8d)","SM89,Be94,UH94,Be95,Hip97,MMH98,NG99a,RLS21",6.79,6.7,6.7,6.71,6.2,6.9,6.77,6.73,6.319,6.315,6.247,(NGC 6871),,,1.85,RC20
405,134,VII,HD 191765,HIP 99377,V1769 Cyg,,20 10 14.19,+36 10 34.9,73.4468,1.5466,WN6b,SSM96,"SB1?, no d.e.l","MS86,CM89,RM89,MM93,McB94,MMH98,MM99,NG99a,VII",8.46,8.43,8.23,8.07,7.58,8.25,7.99,7.74,6.72,6.52,6.16,,(Cyg OB3),,1.75,RC20
406,135,VII,HD 192103,HIP 99525,V1042 Cyg,,20 11 53.52,+36 11 50.4,73.6472,1.2784,WC8,VI,,"MS86,NG99a,LD00",8.44,8.33,8.36,8.43,7.78,8.32,8.09,7.88,7.232,7.113,6.663,,Cyg OB3:,,1.98,RC20
407,136,VII,HD 192163,HIP 99546,V1770 Cyg,,20 12 06.53,+38 21 17.7,75.4756,2.4262,WN6b(h),SSM96,"SB1?, no d.e.l.","KF80,AC85,As82,VA85,MS86,CM89,RM89,SS96,NG99a,VII",7.92,7.88,7.65,7.47,7.05,7.65,7.44,7.18,6.127,5.899,5.561,,(Cyg OB1),,1.93,RC20
408,137,VII,HD 192641,HIP 99769,V1679 Cyg,,20 14 31.76,+36 39 39.5,74.3267,1.0917,WC7pd+O9; WC7ed+O9 ,"SS90,WK01,RSR16,Wil19",SB2 (P~13.05yr),"MS86,An95,Wi97,NG99a,WH99,An00,WK01,Wi02; Wil19",8.51,8.29,8.15,8.08,7.71,8.27,7.92,7.75,6.98,6.767,6.185,Dolidze 3?,Cyg OB1,,2.1,RC20
409,138,VII,HD 193077,HIP 99982,He 3-1866,,20 17 00.02,+37 25 23.7,75.2345,1.1066,WN5o+B?; WN6o+O,SSM96; CW11,"SB2, VB (P=1521d)","LM82,MS86,An91,Hip97,MMH98,NG99a, PRD13, RSR16",8.54,8.32,8.1,7.95,7.75,8.43,8.06,7.92,6.965,6.796,6.581,,Cyg OB1,,2.47,RC20
411,139,VII,HD 193576,HIP 100214,V444 Cyg,,20 19 32.42,+38 43 53.9,76.598,1.4287,WN5o+O6III-V,SSM96,SB2 (P=4.2d),"MS86,SM89,RM90,MMK94,Hip97,MMH98,NG99a",8.84,8.48,8.1,7.85,8.02,8.52,8,7.75,6.697,6.52,6.327,(Berkeley 86),(Cyg OB1),,1.31,RC20
412,140,VII,HD 193793,HIP 100287,V1687 Cyg,,20 20 27.97,+43 51 16.3,80.9302,4.1771,WC7pd+O4-5; WC7ed+O5,WH90; Wil19,"SB2, VB; CWB (P=7.94yr)","MS86,WHW87,ML87,SM89,WH90,An95,HaM99,NG99a,Wi02; MTS04; Wil19",7.64,7.34,7.07,6.91,6.9,7.34,6.87,6.62,5.55,5.43,5.04,,,,1.64,RC20
413,141,VII,HD 193928,HIP 120155,V2183 Cyg,,20 21 31.73,+36 55 12.7,75.3285,0.0781,WN5o+O5V-III,SSM96,SB2 (P=21.7d),"MS86,SM89,GM91,LM96,MMEe98,IV99",11.43,10.85,10.14,9.53,10.71,10.66,9.68,9.33,7.339,6.929,6.535,,Cyg OB1,,1.92,RC20
416,143,VII,HD 195177,,[KW97] 47-1,,20 28 22.66,+38 37 18.9,77.4991,-0.0461,WC4+OB?,SS90,d.e.l.,"CM89,VII",13.97,13.16,11.95,11.17,13.42,12.67,11.46,10.8,8.579,8.102,7.458,,,,2.22,RC20
422,148,VII,HD 197406,HIP 102088,AS 438,,20 41 21.54,+52 35 15.1,90.0811,6.4694,WN8h+,SSM96,"SB1, d.e.l.","MS80,DL86,MS86,CM89,Mo92,Hip97,MMEv98,PA00,VII",11.08,10.82,10.46,10.16,10.42,10.77,10.21,10.15,8.759,8.533,8.318,,,,9.47,RC20 (e flag)
427,153,VII,HD 211853,HIP 110154,GP Cep,,22 18 45.60,+56 07 33.9,102.7825,-0.6532,WN6o/CE+O6I; WN6o/CE+O3-6+B0:I+B1:V-III,SSM96; DMM02,SB2 (P=6.69d) + SB2 (3.47d),"Ma81,MS86,SM89,PS90,An94,LM96,NG99a,PA00, DMM02",9.56,9.35,9.08,8.9,8.87,9.41,9.01,8.81,7.781,7.599,7.413,,Cep OB1:,G102.9-0.7,4.06,RC20
429,155,VII,HD 214419,HIP 111633,CQ Cep,,22 36 53.95,+56 54 20.9,105.3233,-1.294,WN6o+O9II-Ib,SSM96,SB2 (P=1.64d),"SB84,MS86,SM89,MM95,HH97,Hip97,MMH98,NG99a",9.19,9.03,8.75,8.58,8.44,9.26,8.83,8.71,7.482,7.34,7.161,,Cep OB1:,,2.99,RC20
430,156,VII,,HIP 113569,MR 119,AC +60 38562,23 00 10.12,+60 55 38.4,109.8241,0.9194,WN8h,SSM96,d.e.l.,"MS86,CM89,MMH98,MMEv98,VII",12.43,11.92,11.09,10.46,11.85,12.18,11.01,10.3,7.938,7.443,7.03,,,,4.1,RC20
431,157,VII,HD 219460,HIP 114791,,,23 15 12.39,+60 27 01.8,111.3338,-0.2363,WN5o(+B1II),SSM96,VB,"HH88,Hip97,MMH98,NG99a",10.82,10.37,9.91,9.63,10.72,11.11,10.5,10.26,,,,Markarian 50,,,2.57,RC20
432,158,VII,,HIP 117034,MR 112,AS 513,23 43 30.59,+61 55 48.1,115.0325,0.1046,WN7h,SSM96,d.e.l.,"CM89,AV92,VII",12.58,12.21,11.46,10.95,12.02,12.2,11.24,10.71,8.638,8.201,7.811,,,,5,RC20
433,159,VIIA,,,BCC 1,BD+62 2296B,23 47 20.38,+63 13 14.2,115.7855,1.2417,WN4,Ne03,,,,,,,,,11.2,10.53,,,,,,,1.82,RC20
